"Comment","Designator","Footprint","LCSC Part #"
"100nF","CB1","C_0402_1005Metric","C1525"
"1uF","CB2","C_0402_1005Metric","C52923"
"10n","CB3","C_0402_1005Metric","C15195"
"4.7uF","CB4,CB6","C_0402_1005Metric","C23733"
"100n","CB5,CB7,CB8","C_0402_1005Metric","C1525"
"10u","CR1","C_0805_2012Metric","C15850"
"4.7n","CR2","C_0805_2012Metric","C1744"
"100n","CRGB5,CRGB6,CRGB7,CRGB8,CRGB1,CRGB2,CRGB3,CRGB4,CRGB9,CRGB10","C_0805_2012Metric","C49678"
"4.7nF","CSH2,CSH1","C_0805_2012Metric","C1744"
"1u","CSI1","C_0805_2012Metric","C28323"
"1u","CSO1","C_0805_2012Metric","C28323"
"1N4148","D7,D8,D21,D22,D9,D10,D23,D24,D11,D12,D25,D26,D13,D14,D27,D28,D35,D36,D49,D50,D37,D38,D51,D52,D39,D40,D53,D54,D41,D42,D55,D56,D3,D4,D17,D18,D5,D6,D19,D20,D31,D32,D45,D46,D33,D34,D47,D48,D1,D2,D15,D16,D29,D30,D43,D44,D59,D60,D61,D62,D63,D64,D65,D58,D66,D67,D68,D57","D_SOD-123","C81598"
"SMF9.0CA","DF1","D_SOD-123","C123799"
"1N4148","DR1","D_SOD-123","C81598"
"RB060M-60TR","DS1","D_SOD-123","C115330"
"1.5A trip PTC","F1","Fuse_1812_4532Metric","C84140"
"BSS138","Q1","SOT-23","C193019"
"DTC123J","QRST1","SOT-23","C111724"
"5.1k","RCC1,RCC2","R_0805_2012Metric","C27834"
"R01","RGND1","R_1206_3216Metric","C127703"
"100k","RR1","R_1206_3216Metric","C17900"
"5.1R","RRGB5,RRGB6,RRGB7,RRGB8,RRGB1,RRGB2,RRGB3,RRGB4,RRGB9,RRGB10","R_0805_2012Metric","C17724"
"10k","RS2,RS1","R_1206_3216Metric","C17902"
"1M","RSH2,RSH1","R_0805_2012Metric","C17514"
"100k","RSI1","R_1206_3216Metric","C17900"
"100k","RSO1","R_1206_3216Metric","C17900"
"SW_Push","SW1","smdPushBtn","C318884"
"USBLC6-2SC6","U1","SOT-23-6","C7519"
"STM32F072C8Tx","U2","LQFP-48_7x7mm_P0.5mm","C80488"
"MCP1700-3302E_SOT23","U3","SOT-23","C39051"
